Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11
-85,-58,-53,-91,-86
-75,-63,-56,-93,-84
-77,-58,-59,-90,-89
-76,-61,-57,-89,-87
-73,-64,-53,-90,-84
-77,-62,-53,-89,-85
-69,-64,-53,-89,-87
-73,-58,-53,-91,-89
-72,-64,-51,-94,-87
-84,-63,-54,-91,-84
-69,-64,-52,-91,-87
-77,-62,-51,-88,-88
-77,-56,-67,-90,-86
-80,-58,-48,-91,-89
-73,-64,-53,-90,-85
-77,-63,-54,-89,-85
